mask1,mask2,intersection,mask1_size,mask2_size,mask2_size_at_mask1_z,iou,iou_at_mask1_z,containment_2p,containment_hcr_at_z,is_best_match,somaprint_hcr_label,somaprint_best_score,somaprint_second_score,somaprint_confident
10,18481,1,512,4782,827,0.0001889287738522,0.0007473841554559,0.001953125,0.0012091898428053,False,20860,16.18904000888133,4.410022158953845,True
10,17208,1,512,6391,1040,0.000144885540423,0.0006447453255963,0.001953125,0.0009615384615384,False,20860,16.18904000888133,4.410022158953845,True
11,17088,467,915,6017,3024,0.0722351121423047,0.1345046082949308,0.5103825136612021,0.1544312169312169,True,17088,12.024123087652043,3.767605799881658,True
11,20391,44,915,193,193,0.0413533834586466,0.0413533834586466,0.048087431693989,0.2279792746113989,False,17088,12.024123087652043,3.767605799881658,True
11,19805,5,915,1431,951,0.0021358393848782,0.0026867275658248,0.0054644808743169,0.0052576235541535,False,17088,12.024123087652043,3.767605799881658,True
12,19073,485,1054,4958,1145,0.0877510403473855,0.2829638273045508,0.4601518026565465,0.4235807860262008,True,19073,8.883328059208305,3.8506096049769862,False
12,19565,65,1054,4659,574,0.0115084985835694,0.0415866922584772,0.0616698292220113,0.1132404181184669,False,19073,8.883328059208305,3.8506096049769862,False
12,16537,15,1054,4291,765,0.0028142589118198,0.0083148558758314,0.0142314990512333,0.0196078431372549,False,19073,8.883328059208305,3.8506096049769862,False
12,19548,15,1054,2471,887,0.0042735042735042,0.0077881619937694,0.0142314990512333,0.0169109357384441,False,19073,8.883328059208305,3.8506096049769862,False
13,18971,280,690,3626,1814,0.0693756194251734,0.1258992805755395,0.4057971014492754,0.1543550165380375,True,18976,7.943033552714939,5.984851960129372,False
13,18976,175,690,3557,1338,0.0429764243614931,0.0944414463032919,0.2536231884057971,0.1307922272047832,False,18976,7.943033552714939,5.984851960129372,False
13,18980,164,690,3331,1895,0.0425200933367902,0.0677406030565881,0.2376811594202898,0.0865435356200527,False,18976,7.943033552714939,5.984851960129372,False
14,15307,64,522,6599,1084,0.0090690094941193,0.0415045395590142,0.1226053639846743,0.059040590405904,True,19470,5.578861657813021,4.596463102977743,False
14,18419,41,522,4440,1101,0.0083316399105872,0.0259165613147914,0.0785440613026819,0.0372388737511353,False,19470,5.578861657813021,4.596463102977743,False
15,14221,282,673,8651,2025,0.0311877903118779,0.1167218543046357,0.4190193164933135,0.1392592592592592,True,14221,13.003317219889855,3.892444584971966,True
16,20860,110,376,1633,400,0.057925223802001,0.1651651651651651,0.2925531914893617,0.275,True,20184,11.463572487665408,6.349504075809689,True
16,17208,180,376,6391,1040,0.0273265522999848,0.145631067961165,0.4787234042553192,0.173076923076923,False,20184,11.463572487665408,6.349504075809689,True
16,20184,36,376,3699,853,0.0089130973013122,0.0301760268231349,0.0957446808510638,0.0422039859320046,False,20184,11.463572487665408,6.349504075809689,True
17,18509,264,630,5062,2741,0.0486366985998526,0.0849694238815577,0.419047619047619,0.096315213425757,True,18509,11.665642624073177,7.4099907511909056,True
17,20214,234,630,2936,2936,0.0702280912364946,0.0702280912364946,0.3714285714285714,0.079700272479564,False,18509,11.665642624073177,7.4099907511909056,True
17,17223,69,630,5925,3529,0.0106382978723404,0.0168704156479217,0.1095238095238095,0.0195522810994616,False,18509,11.665642624073177,7.4099907511909056,True
17,20475,13,630,2925,1914,0.0036702428006775,0.0051363097589885,0.0206349206349206,0.0067920585161964,False,18509,11.665642624073177,7.4099907511909056,True
18,19430,0,137,2436,0,0.0,0.0,0.0,0.0,False,19430,6.119561053677218,6.1079230520798635,False
19,19448,12,384,3840,1252,0.0028490028490028,0.0073891625615763,0.03125,0.0095846645367412,True,19448,7.887061699470278,3.752617551690003,False
19,19453,12,384,4485,1598,0.0024706609017912,0.0060913705583756,0.03125,0.0075093867334167,False,19448,7.887061699470278,3.752617551690003,False
20,17787,303,407,3044,1617,0.0962515883100381,0.1760604299825682,0.7444717444717445,0.1873840445269016,True,17787,9.66868887282787,4.3769567900708095,True
20,16457,14,407,6952,1732,0.0019060585432266,0.0065882352941176,0.0343980343980344,0.0080831408775981,False,17787,9.66868887282787,4.3769567900708095,True
21,17860,22,436,2528,971,0.0074779061862678,0.015884476534296,0.0504587155963302,0.0226570545829042,True,20221,11.522329978643613,7.299077545441434,True
21,19081,26,436,1713,1482,0.0122468205369759,0.0137420718816067,0.0596330275229357,0.0175438596491228,False,20221,11.522329978643613,7.299077545441434,True
21,20221,4,436,347,347,0.0051347881899871,0.0051347881899871,0.0091743119266055,0.0115273775216138,False,20221,11.522329978643613,7.299077545441434,True
22,19578,0,8,1809,0,0.0,0.0,0.0,0.0,False,19578,9.576919598352536,4.1664976355635,True
23,17087,483,1052,3645,2463,0.1146179401993355,0.1593007915567282,0.4591254752851711,0.1961023142509135,True,17087,16.001807646951764,5.430607889342822,True
23,19805,247,1052,1431,1431,0.1104651162790697,0.1104651162790697,0.2347908745247148,0.1726065688329839,False,17087,16.001807646951764,5.430607889342822,True
23,18951,52,1052,2723,2161,0.0139672307279076,0.0164504903511546,0.0494296577946768,0.0240629338269319,False,17087,16.001807646951764,5.430607889342822,True
23,20391,11,1052,193,193,0.0089141004862236,0.0089141004862236,0.0104562737642585,0.0569948186528497,False,17087,16.001807646951764,5.430607889342822,True
