mouse,region,plane,stage,cells,tile,theta_tile_med,theta_tile_p99,theta_local_med,aniso_p99,iou_field_dense,iou_cell_dense,match_dense,offset_dense,partners_dense,area_p99_dense,torn_dense,iou_field_rigid,iou_cell_rigid,match_rigid,offset_rigid,partners_rigid,area_p99_rigid,torn_rigid,iou_field_body,iou_cell_body,match_body,offset_body,partners_body,area_p99_body,torn_body,flip_dense_rigid,flip_dense_body,flip_rigid_body
CIM130,PBN,0,tile_100,528,100,0.46237746968745636,1.3603472349378343,0.9834394223556229,1.0756288142579904,0.17583882094700534,0.3148279840073326,51.13636363636363,5.923879314984392,1.3863636363636365,1.2571101774042959,8.522727272727272,0.17560748373168725,0.31685114906177525,51.13636363636363,5.902693127409941,1.4034090909090908,1.0,4.545454545454546,0.17569242895085777,0.31685114906177525,50.9469696969697,5.8962042183107615,1.4053030303030303,1.0032346775188064,6.25,1.8561484918793503,2.088167053364269,0.2304147465437788
CIM130,PBN,1,tile_100,686,100,0.36142675314389683,2.082561960578513,1.0443719290059719,1.0808766702379564,0.22176568877201633,0.2908872377622378,48.10495626822158,6.408100081869889,1.4052478134110786,1.2824118904752047,7.580174927113703,0.21984267490730341,0.29069824134726796,48.68804664723032,6.208213709120572,1.3921282798833818,1.0,4.664723032069971,0.21966710376041623,0.29171821837302814,48.68804664723032,6.259939382027943,1.3950437317784257,1.0019891202477487,5.393586005830904,1.9434628975265018,1.9434628975265018,0.0
CIM130,PBN,2,tile_100,642,100,0.9544744915688274,2.358739356702887,1.3810427946443837,1.118090854299131,0.2628449069708098,0.303016467929513,50.31152647975078,5.194177257835894,1.3566978193146417,1.2714005516395956,8.878504672897195,0.26088975881630894,0.29849284755980693,49.84423676012461,5.082480575393337,1.3364485981308412,1.0,5.29595015576324,0.2609175224957497,0.3060200668896321,50.155763239875384,5.075278382484216,1.3442367601246106,1.0039495166487649,6.074766355140187,0.591715976331361,0.591715976331361,0.0
CIM130,PBN,3,tile_100,442,100,0.9425921879623005,3.377734605304328,1.8905349977116812,1.1506562748397275,0.2727047210080152,0.29440269831782084,48.86877828054298,5.756305006942427,1.3733031674208145,1.2843542437174016,9.049773755656108,0.2710007023073365,0.29378221649484537,49.321266968325794,5.7973796472442265,1.3846153846153846,1.0,4.298642533936651,0.27062299293513165,0.293672153024911,49.547511312217196,5.834022682742079,1.3846153846153846,1.0040868347338936,5.203619909502263,1.10803324099723,1.10803324099723,0.0
CIM131,PBN,0,tile_100,645,100,0.9111114585151868,2.4786321671135467,1.5565959986024813,1.115168397938965,0.23597546529075736,0.3179347826086957,52.86821705426357,4.766279826326954,1.496124031007752,1.7882316805616376,7.751937984496124,0.2347132003005761,0.3152454780361757,52.24806201550387,4.764825634866625,1.4573643410852712,1.0,1.7054263565891472,0.23442827137366473,0.31896551724137934,52.4031007751938,4.773912747710273,1.4511627906976745,1.0054218566392479,2.3255813953488373,1.6605166051660518,1.6574585635359116,0.3676470588235294
CIM131,PBN,1,tile_100,1076,100,0.6636407388823604,2.4454007178253465,1.3288013972180126,1.0897851025789025,0.30941154281403244,0.3836290364787774,66.635687732342,3.877195314734844,1.7258364312267658,1.2026799841772151,5.111524163568773,0.30635204317765924,0.3863697621861458,66.82156133828995,3.9842602528663216,1.686802973977695,1.0,1.3940520446096654,0.30612743702185014,0.3863697621861458,66.91449814126395,3.991841176232863,1.691449814126394,1.0045100176903774,2.2304832713754648,1.1156186612576064,1.0131712259371835,0.10101010101010101
CIM131,PBN,2,tile_100,1094,100,0.37753178167606305,1.525497350810946,1.0318459623200944,1.0716180140364129,0.27938555780467755,0.37326736412735584,61.700182815356484,4.295938443736305,1.6352833638025595,1.1937083333333331,5.941499085923217,0.278979801730061,0.3715867027334852,61.06032906764168,4.245939600000008,1.6096892138939671,1.0,2.742230347349177,0.2791556762016953,0.37198401162790695,61.15173674588665,4.239974170912142,1.613345521023766,1.0034129692832765,2.83363802559415,1.21580547112462,1.0111223458038423,0.20242914979757085
CIM131,PBN,3,tile_100,929,100,0.2939730058054593,1.4489415750568775,0.8729885043891522,1.070867859959857,0.24335393727563082,0.36627906976744184,61.14101184068891,4.174085533680817,1.6372443487621098,1.1864534017736428,5.382131324004305,0.24371886773437518,0.3659305993690852,62.002152852529605,4.145411496887155,1.6415500538213132,1.0,3.229278794402583,0.24365888228218055,0.3659305993690852,61.89451022604951,4.146098962442976,1.6404736275565124,1.0,3.552206673842842,1.4285714285714286,1.1918951132300357,0.4750593824228029
CIM132,PBN,0,tile_100,812,100,0.38483985223420003,1.6201167370879352,1.1971586673199863,1.1348564313909775,0.23936679599544958,0.2311327295417558,35.467980295566505,6.897662373496047,2.065270935960591,1.3727161200101703,4.1871921182266005,0.24022337969177898,0.23389830508474577,36.82266009852217,6.809753102860002,2.0480295566502464,1.0,3.6945812807881775,0.24015411510525614,0.23491882155248492,36.69950738916256,6.843668252971506,2.0554187192118225,1.002675487606664,3.8177339901477834,3.361344537815126,3.081232492997199,0.5571030640668524
CIM132,PBN,1,tile_100,927,100,0.38772148401988804,2.2301767728077215,1.0634750301787188,1.0811747965178582,0.24471994455124432,0.27880184331797236,47.249190938511326,5.486552694973623,1.7400215749730312,1.2232158442430345,3.559870550161812,0.24433747227028463,0.2807017543859649,47.357065803667744,5.511320877822335,1.7270765911542612,1.0,2.912621359223301,0.2442072008279318,0.2804878048780488,47.357065803667744,5.473884701271266,1.7238403451995685,1.0032783566035348,3.2362459546925564,2.207792207792208,1.8181818181818181,0.3870967741935484
