mouse,plane,stage,step,is_last,cells,tile,area_p99,area_max,bloated,torn,rim_area_p99,core_area_p99,iou_cell_dense,match_dense,offset_dense,partners_dense,iou_cell_rigid,match_rigid,offset_rigid,partners_rigid,flipped
CIM130,0,baseline,0,False,528,,1.0,1.0,0.0,4.545454545454546,1.0,1.0,0.03380261046898295,13.257575757575758,11.89594150825267,0.9810606060606061,0.03380261046898295,13.257575757575758,11.89594150825267,0.9810606060606061,0.0
CIM130,0,global,1,False,528,,1.0,1.0,0.0,4.734848484848484,1.0,1.0,0.13625693555271018,30.113636363636363,9.23921108231971,1.1571969696969697,0.13625693555271018,30.113636363636363,9.288152322315032,1.1590909090909092,0.2597402597402597
CIM130,0,affine,2,False,528,,1.0,1.0,0.0,5.303030303030303,1.0,1.0,0.19482582227824347,38.06818181818182,7.453570172151966,1.2443181818181819,0.1935227327802329,38.06818181818182,7.540769098095453,1.259469696969697,0.0
CIM130,0,tile_500,3,False,528,500.0,1.0666477272727273,1.1368421052631579,0.0,5.681818181818182,1.0273235781050598,1.0575933825318304,0.218524531024531,38.82575757575758,7.487106463803258,1.2291666666666667,0.22226459847341007,38.446969696969695,7.521127976493853,1.2443181818181819,0.7692307692307693
CIM130,0,tile_200,4,False,528,200.0,1.119129417125813,1.180952380952381,0.0,6.25,1.0544959128065394,1.1186488060570765,0.2564946018893387,43.371212121212125,6.8805620544996415,1.3333333333333333,0.25675172285341774,44.50757575757576,6.912216008286739,1.3333333333333333,0.966183574879227
CIM130,0,tile_100,5,True,528,100.0,1.2571101774042959,1.3778409090909092,0.0,8.522727272727272,1.1861714868136068,1.2949450549450547,0.3148279840073326,51.13636363636363,5.923879314984392,1.3863636363636365,0.31685114906177525,51.13636363636363,5.902693127409941,1.4034090909090908,1.8561484918793503
CIM130,1,baseline,0,False,686,,1.0,1.0,0.0,4.373177842565598,1.0,1.0,0.05727233491583945,12.82798833819242,12.63357867239493,1.1807580174927115,0.05727233491583945,12.82798833819242,12.63357867239493,1.1807580174927115,0.0
CIM130,1,global,1,False,686,,1.0,1.0,0.0,4.373177842565598,1.0,1.0,0.1861197938666892,36.734693877551024,7.696814195228793,1.271137026239067,0.1861197938666892,36.734693877551024,7.696814195228793,1.271137026239067,0.0
CIM130,1,affine,2,False,686,,1.0465771372420571,1.0604026845637584,0.0,4.518950437317784,1.0460873113015097,1.0463272258922265,0.19314922649052668,38.19241982507289,7.385513999287287,1.271137026239067,0.1941502280983357,38.33819241982507,7.376228843802707,1.2653061224489797,0.38022813688212925
CIM130,1,tile_500,3,False,686,500.0,1.052114390021296,1.1166666666666667,0.0,4.518950437317784,1.056658536585366,1.052485549132948,0.22764290901545803,42.12827988338192,6.868627321851186,1.2886297376093294,0.2278708167148349,42.12827988338192,6.792356323207212,1.284256559766764,0.3780718336483932
CIM130,1,tile_200,4,False,686,200.0,1.1657738876185477,1.4825581395348837,0.0,5.247813411078718,1.2944220183486244,1.1037871607065919,0.2712195311287067,46.647230320699705,6.164278399528024,1.3746355685131195,0.2661690348182284,46.79300291545189,6.147824184239138,1.370262390670554,0.9174311926605505
CIM130,1,tile_100,5,True,686,100.0,1.2824118904752047,1.505813953488372,0.1457725947521866,7.580174927113703,1.3087492524399091,1.1913092935957228,0.2908872377622378,48.10495626822158,6.408100081869889,1.4052478134110786,0.29069824134726796,48.68804664723032,6.208213709120572,1.3921282798833818,1.9434628975265018
CIM130,2,baseline,0,False,642,,1.0,1.0,0.0,4.672897196261682,1.0,1.0,0.044565455185336666,13.862928348909657,12.087087318198208,1.1230529595015577,0.044565455185336666,13.862928348909657,12.087087318198208,1.1230529595015577,0.0
CIM130,2,global,1,False,642,,1.0,1.0,0.0,4.517133956386292,1.0,1.0,0.13444463236226797,28.037383177570092,8.606764661666217,1.2461059190031152,0.13444463236226797,28.19314641744548,8.606764661666217,1.2461059190031152,0.0
CIM130,2,affine,2,False,642,,1.0350885225885227,1.0526315789473684,0.0,5.14018691588785,1.0375108225108225,1.0314415322580646,0.11183391003460208,32.242990654205606,7.497168734060606,1.0934579439252337,0.11299990551106702,32.398753894081,7.579295237515589,1.0919003115264798,0.0
CIM130,2,tile_500,3,False,642,500.0,1.0862643243243246,1.1228070175438596,0.0,5.607476635514018,1.082012647535557,1.089693333333333,0.1336182336182336,37.22741433021807,6.73038650301331,1.102803738317757,0.13542317980734425,36.60436137071651,6.709941103402366,1.088785046728972,0.4662004662004662
CIM130,2,tile_200,4,False,642,200.0,1.1615753534382636,1.2037037037037037,0.0,7.320872274143301,1.1669381038774735,1.1423108560275113,0.22365084853199643,43.30218068535825,6.174989867297387,1.1993769470404985,0.22595704948646123,42.679127725856695,6.08949189545058,1.1947040498442367,1.059322033898305
CIM130,2,tile_100,5,True,642,100.0,1.2714005516395956,2.191096634093377,0.6230529595015576,8.878504672897195,1.2186963636363637,1.1903186770369703,0.303016467929513,50.31152647975078,5.194177257835894,1.3566978193146417,0.29849284755980693,49.84423676012461,5.082480575393337,1.3364485981308412,0.591715976331361
CIM130,3,baseline,0,False,442,,1.0,1.0,0.0,4.072398190045249,1.0,1.0,0.05109054120222357,12.217194570135746,12.649968428984781,1.1153846153846154,0.05109054120222357,12.217194570135746,12.649968428984781,1.1153846153846154,0.0
CIM130,3,global,1,False,442,,1.0,1.0,0.0,4.072398190045249,1.0,1.0,0.09447851472256058,23.076923076923077,10.053416297523071,1.1764705882352942,0.09447851472256058,23.076923076923077,10.053416297523071,1.1764705882352942,0.0
CIM130,3,affine,2,False,442,,1.0534432234432234,1.0729166666666667,0.0,5.88235294117647,1.049478570017776,1.0510989010989011,0.1503624029029354,35.294117647058826,7.112580464325543,1.1199095022624435,0.14448762773667861,34.38914027149321,7.066209391420636,1.1131221719457014,1.7006802721088436
CIM130,3,tile_500,3,False,442,500.0,1.0534432234432234,1.0729166666666667,0.0,5.88235294117647,1.049478570017776,1.0510989010989011,0.1503624029029354,35.294117647058826,7.112580464325543,1.1199095022624435,0.14448762773667861,34.38914027149321,7.066209391420636,1.1131221719457014,1.7006802721088436
